subject,trial,bag_file,timestamp,valid,comentarios
mujer,na,grabacion_20260206_163238.bag,163238,1,"""Camina normal"""
mujer,na,grabacion_20260206_163329.bag,163329,1,"""Camina normal"""
mujer,na,grabacion_20260206_163329.bag,163329,1,"""Se detiene a ver su celular"""
Joan,na,grabacion_20260206_163718.bag,163718,1,"""Camina normal"""
Joan,na,grabacion_20260206_163749.bag,163749,1,"""Camina normal"""
Joan,na,grabacion_20260206_163827.bag,163827,1,"""Trae un vaso, se detiene a tomar líquido del vaso"""
hombre,na,grabacion_20260206_163934.bag,163934,1,"""Camina normal"""
hombre,na,grabacion_20260206_164008.bag,164008,1,"""Camina normal"""
hombre,na,grabacion_20260206_164123.bag,164123,1,"""Saca su celular mientras camina y lo observa"""
Tony,na,grabacion_20260206_164209.bag,164209,1,"""Camina normal"""
Tony,na,grabacion_20260206_164242.bag,164242,1,"""Va ajustando algo en su mano mientras camina"""
Tony,na,grabacion_20260206_164315.bag,164315,1,"""Trae un vaso en la mano, se detiene un poco"""
