SensorId, TimeStamp (s), FrameNumber, AccX (g), AccY (g), AccZ (g), GyroX (deg/s), GyroY (deg/s), GyroZ (deg/s), MagX (uT), MagY (uT), MagZ (uT), EulerX (deg), EulerY (deg), EulerZ (deg), QuatW, QuatX, QuatY, QuatZ, LinAccX (g), LinAccY (g), LinAccZ (g), Pressure (kPa), Altitude (m), Temperature (degC), HeaveMotion (m)
5, -0.0002, 0, 0.48038572, -0.16046904, -0.41399044, 144.84869385, -101.43453979, 142.17927551, 11.02016926, 37.67903900, -117.91873932, 80.11810303, 41.46847916, 52.45950699, 0.74280459, -0.42015487, -0.50908875, -0.11198157, 0.20140156, -0.30655754, 0.03493587, 0.00000000, 0.00000000, 0.00000000, 0.00000000
5, 0.0098, 1, 0.44863677, -0.12331772, -0.39869246, 138.96818542, -98.94692993, 135.79371643, 11.02016926, 37.67903900, -117.91873932, 83.00932312, 41.50080490, 54.12508392, 0.73046374, -0.43112743, -0.51822066, -0.10954122, 0.24828166, -0.33158302, 0.08402173, 0.00000000, 0.00000000, 0.00000000, 0.00000000
5, 0.0198, 2, 0.38124898, -0.08478816, -0.42000109, 133.54179382, -93.76145172, 131.83270264, 10.87401295, 37.09441757, -118.91259766, 85.79362488, 41.48343277, 55.74439621, 0.71832210, -0.44142473, -0.52694345, -0.10718353, 0.32684901, -0.31899410, 0.11611326, 0.00000000, 0.00000000, 0.00000000, 0.00000000
5, 0.0298, 3, 0.35135779, -0.12916583, -0.41780478, 129.88131714, -89.94241333, 130.30535889, 9.73399544, 35.10669327, -119.35106659, 86.13606262, 41.08480835, 55.40491486, 0.71706921, -0.44697636, -0.52422869, -0.10586841, 0.32477516, -0.31975949, 0.09055085, 0.00000000, 0.00000000, 0.00000000, 0.00000000
5, 0.0398, 4, 0.37368348, -0.23372485, -0.37815556, 123.09211731, -88.80142212, 130.40144348, 9.58784008, 34.05437088, -120.57877350, 88.77903748, 40.98523712, 56.99874115, 0.70511764, -0.45649147, -0.53251553, -0.10417263, 0.24074936, -0.35186717, 0.02530123, 0.00000000, 0.00000000, 0.00000000, 0.00000000
5, 0.0498, 5, 0.39431682, -0.31216395, -0.35086170, 113.79122925, -87.44232178, 129.93884277, 9.14937115, 31.33586693, -119.78953552, 91.32426453, 40.79044342, 58.57732010, 0.69327217, -0.46554375, -0.54038638, -0.10307894, 0.17585152, -0.37261266, 0.00416937, 0.00000000, 0.00000000, 0.00000000, 0.00000000
5, 0.0598, 6, 0.41606188, -0.31152076, -0.36015409, 108.06338501, -83.87162018, 125.66275787, 9.14937115, 31.33586693, -119.78953552, 93.75031281, 40.54674530, 60.08760071, 0.68170327, -0.47407448, -0.54781795, -0.10212583, 0.15580803, -0.36516058, 0.05057679, 0.00000000, 0.00000000, 0.00000000, 0.00000000
5, 0.0698, 7, 0.45994863, -0.26509395, -0.35318333, 106.45380402, -82.78980255, 114.03665924, 8.56474686, 30.04969215, -120.84185791, 96.03524017, 40.27659988, 61.42917252, 0.67063022, -0.48237911, -0.55445254, -0.10073733, 0.14180250, -0.37801930, 0.14394836, 0.00000000, 0.00000000, 0.00000000, 0.00000000
5, 0.0798, 8, 0.45078978, -0.21123406, -0.34267089, 106.71094513, -84.47441101, 102.96931458, 7.51242304, 29.43583679, -121.86495209, 94.47183990, 42.42163849, 66.18863678, 0.67532939, -0.43925637, -0.57951027, -0.12309374, 0.18310152, -0.38887283, 0.19865818, 0.00000000, 0.00000000, 0.00000000, 0.00000000
5, 0.0898, 9, 0.34824616, -0.20772952, -0.40057969, 108.37906647, -84.32318115, 95.76599884, 7.48319197, 27.62350082, -121.83571625, 96.66176605, 42.17222214, 67.32067108, 0.66526723, -0.44754863, -0.58539611, -0.12013036, 0.29386702, -0.31487697, 0.13872907, 0.00000000, 0.00000000, 0.00000000, 0.00000000
5, 0.0998, 10, 0.25782546, -0.23068698, -0.44994056, 109.74390411, -85.96099854, 86.78881073, 6.78164291, 26.36655998, -121.54340363, 98.76965332, 41.90641403, 68.31365967, 0.65547574, -0.45591539, -0.59065640, -0.11669506, 0.35535347, -0.26292837, 0.10120746, 0.00000000, 0.00000000, 0.00000000, 0.00000000
5, 0.1098, 11, 0.18822569, -0.25731027, -0.46749020, 109.04576874, -87.97660065, 76.11131287, 6.78164291, 26.36655998, -121.54340363, 100.76405334, 41.62223816, 69.14340210, 0.64610589, -0.46434993, -0.59513539, -0.11287253, 0.39532131, -0.24156813, 0.06836484, 0.00000000, 0.00000000, 0.00000000, 0.00000000
5, 0.1198, 12, 0.16017199, -0.32378024, -0.49283022, 104.75363159, -90.91970825, 67.24512482, 6.22624969, 25.08038521, -122.36187744, 102.63298798, 41.29647446, 69.82556152, 0.63714945, -0.47285891, -0.59879988, -0.10901226, 0.37872699, -0.20770742, 0.02555015, 0.00000000, 0.00000000, 0.00000000, 0.00000000
5, 0.1298, 13, 0.19272451, -0.38276842, -0.46045226, 95.77929688, -93.68581390, 63.87584686, 5.67085648, 23.96959877, -122.53726959, 105.46585846, 39.32880783, 67.53898621, 0.62286866, -0.50970441, -0.58594912, -0.09433803, 0.30658054, -0.23557736, 0.02114462, 0.00000000, 0.00000000, 0.00000000, 0.00000000
5, 0.1398, 14, 0.16693065, -0.44921246, -0.45147762, 84.39020538, -90.86683655, 67.17259979, 5.26161957, 22.42034531, -122.85881042, 107.08092499, 38.85320282, 68.11975861, 0.61410087, -0.51767659, -0.58854038, -0.09225765, 0.26832789, -0.24599776, -0.01203361, 0.00000000, 0.00000000, 0.00000000, 0.00000000
5, 0.1498, 15, 0.12973991, -0.51345062, -0.43337053, 70.54579163, -82.54894257, 74.89053345, 3.85852075, 21.83572006, -122.74188995, 108.58406067, 38.32275772, 68.77769470, 0.60549527, -0.52475780, -0.59130555, -0.09144693, 0.25482374, -0.25592878, -0.06560710, 0.00000000, 0.00000000, 0.00000000, 0.00000000
5, 0.1598, 16, 0.13383545, -0.56825221, -0.41782480, 54.90371704, -71.44773865, 81.36570740, 3.85852075, 21.83572006, -122.74188995, 109.93724060, 37.75125504, 69.50423431, 0.59727472, -0.53074110, -0.59423923, -0.09195984, 0.21207738, -0.26473281, -0.08940352, 0.00000000, 0.00000000, 0.00000000, 0.00000000
5, 0.1698, 17, 0.18081951, -0.61884975, -0.39164588, 38.98931503, -62.30310822, 83.60897064, 3.59543991, 21.10494041, -122.88804626, 111.10875702, 37.14001846, 70.23981476, 0.58964962, -0.53578681, -0.59705710, -0.09364188, 0.13500041, -0.28520143, -0.08844997, 0.00000000, 0.00000000, 0.00000000, 0.00000000
5, 0.1798, 18, 0.24410255, -0.69190848, -0.43576294, 23.43099594, -56.84201050, 82.69283295, 3.04004669, 20.08184814, -122.68342590, 114.82260895, 37.75700378, 76.74790955, 0.56877911, -0.51682603, -0.63154155, -0.10264724, 0.04007344, -0.22732680, -0.08508177, 0.00000000, 0.00000000, 0.00000000, 0.00000000
5, 0.1898, 19, 0.26193139, -0.75045872, -0.48144737, 12.59147167, -53.21805954, 82.37388611, 2.51388478, 19.90645981, -123.23881531, 115.65840912, 37.03427887, 77.37543488, 0.56212848, -0.52081472, -0.63370377, -0.10575089, -0.00106768, -0.15658680, -0.08237448, 0.00000000, 0.00000000, 0.00000000, 0.00000000
5, 0.1998, 20, 0.21647559, -0.80933475, -0.52638286, 5.61166000, -49.63185883, 82.11006165, 1.46156096, 19.73107338, -123.67728424, 116.39666748, 36.29537201, 77.98076630, 0.55577433, -0.52443630, -0.63571072, -0.10933207, -0.00401028, -0.10760247, -0.13914600, 0.00000000, 0.00000000, 0.00000000, 0.00000000
5, 0.2098, 21, 0.15439211, -0.83372593, -0.58424854, 0.45922208, -48.71943665, 81.42624664, 0.58462435, 19.05875397, -124.32037354, 117.05995941, 35.53446198, 78.55107880, 0.54961348, -0.52791029, -0.63750368, -0.11324732, 0.02657880, -0.04998430, -0.17675206, 0.00000000, 0.00000000, 0.00000000, 0.00000000
5, 0.2198, 22, 0.13792683, -0.84521401, -0.60112697, -2.46090102, -50.14603424, 80.30776215, 0.58462435, 19.05875397, -124.32037354, 117.67435455, 34.75016785, 79.07649994, 0.54353601, -0.53143102, -0.63905060, -0.11732009, 0.02372497, -0.03484076, -0.18235809, 0.00000000, 0.00000000, 0.00000000, 0.00000000
5, 0.2298, 23, 0.12695803, -0.91368902, -0.60688120, -1.57789886, -51.33322525, 79.28675842, 0.43846828, 19.26337242, -124.20344543, 121.08581543, 33.56560516, 82.63772583, 0.51960963, -0.53234732, -0.65705347, -0.12203630, -0.01804292, -0.02012858, -0.22351055, 0.00000000, 0.00000000, 0.00000000, 0.00000000
