SensorId, TimeStamp (s), FrameNumber, AccX (g), AccY (g), AccZ (g), GyroX (deg/s), GyroY (deg/s), GyroZ (deg/s), MagX (uT), MagY (uT), MagZ (uT), EulerX (deg), EulerY (deg), EulerZ (deg), QuatW, QuatX, QuatY, QuatZ, LinAccX (g), LinAccY (g), LinAccZ (g), Pressure (kPa), Altitude (m), Temperature (degC), HeaveMotion (m)
5, 0.0001, 0, -0.25431180, -1.05868614, -1.39315379, 38.41944504, -118.44162750, 62.47365570, -4.18006420, 21.36802101, -127.74042511, 64.87418365, -31.81425285, -19.11991310, 0.82480568, -0.47025317, 0.31377426, -0.01016632, 0.60336846, 0.45428509, 0.23324740, 0.00000000, 0.00000000, 0.00000000, 0.00000000
5, 0.0101, 1, -0.34049839, -1.23257136, -1.44533503, 29.23589706, -119.07065582, 63.62712860, -4.53083897, 21.80648994, -128.35427856, 66.22124481, -32.51737213, -20.17399406, 0.81847584, -0.47523195, 0.32273367, -0.00973803, 0.67156023, 0.63044810, 0.20718299, 0.00000000, 0.00000000, 0.00000000, 0.00000000
5, 0.0201, 2, -0.31417164, -1.31400275, -1.48135614, 20.19573402, -111.25557709, 70.06262207, -6.02163124, 21.22186470, -128.47120667, 67.50119019, -33.26219940, -21.11300278, 0.81232929, -0.47972980, 0.33147109, -0.01036391, 0.66384733, 0.71433389, 0.26412308, 0.00000000, 0.00000000, 0.00000000, 0.00000000
5, 0.0301, 3, -0.25231254, -1.34564066, -1.52969003, 12.55138683, -103.04237366, 74.91247559, -5.96316862, 20.34492874, -128.64659119, 68.71269989, -34.03413773, -21.94475174, 0.80640388, -0.48377991, 0.33989489, -0.01188713, 0.64725888, 0.75156820, 0.35941058, 0.00000000, 0.00000000, 0.00000000, 0.00000000
4, 0.0000, 0, 0.20444658, 0.62973613, -0.14379287, 17.86372375, -1.84858203, 53.47171783, -63.46097565, 16.89564514, -78.48582458, -0.16666946, 6.77145243, 0.37811714, 1.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00625496, 0.00453400, -0.32458705, 101.52600861, -16.71896172, 34.84999847, 0.00000000
4, 0.0100, 1, 0.17915694, 0.56457776, -0.12985185, 20.83494949, -1.23651147, 56.57745361, -63.46097565, 16.89564514, -78.48582458, 0.06413077, 7.62608051, 0.45034888, 1.00000000, 0.00000000, 0.00000000, 0.00000000, 0.03218239, 0.00149610, -0.39290679, 101.52600861, -16.71896172, 34.84999847, 0.00000000
5, 0.0401, 4, -0.24572727, -1.36044240, -1.59190524, 4.21760750, -90.68105316, 80.11535645, -8.24320412, 20.57877731, -129.61122131, 68.99843597, -35.22325516, -22.16458893, 0.80379885, -0.48185030, 0.34847152, -0.01718560, 0.67645818, 0.77707863, 0.41852355, 0.00000000, 0.00000000, 0.00000000, 0.00000000
4, 0.0200, 2, 0.16055074, 0.50530434, -0.11619309, 23.21868706, -0.65920514, 61.80656433, -62.32095718, 16.89564514, -79.01198578, 0.33015493, 8.22684956, 0.56194276, 1.00000000, 0.00000000, 0.00000000, 0.00000000, 0.05573653, -0.00295186, -0.45392680, 101.52600861, -16.71896172, 34.84999847, 0.00000000
5, 0.0501, 5, -0.28137806, -1.35805190, -1.68170547, -1.67822492, -70.41224670, 88.36746979, -8.24320412, 20.57877731, -129.61122131, 69.96843719, -36.01755524, -22.57372093, 0.79879516, -0.48513991, 0.35512039, -0.02132994, 0.75249147, 0.79401660, 0.45729882, 0.00000000, 0.00000000, 0.00000000, 0.00000000
5, 0.0601, 6, -0.32735425, -1.44993293, -1.75632942, -10.64895058, -66.34481812, 90.57659912, -7.74627304, 19.87722778, -129.81584167, 70.86177063, -36.86688995, -22.91958618, 0.79401815, -0.48782229, 0.36177984, -0.02607328, 0.81857550, 0.89795101, 0.47679192, 0.00000000, 0.00000000, 0.00000000, 0.00000000
5, 0.0701, 7, -0.43496448, -1.54467440, -1.84496081, -20.12650490, -78.29518890, 96.77436829, -9.55860806, 19.87722778, -130.10815430, 71.82130432, -37.86241531, -23.37004662, 0.78878438, -0.49008051, 0.36968666, -0.03117979, 0.93286175, 1.00801253, 0.45790541, 0.00000000, 0.00000000, 0.00000000, 0.00000000
5, 0.0801, 8, -0.57306784, -1.63085032, -1.92439234, -24.26100731, -83.76650238, 108.54421997, -10.58170128, 18.15258598, -129.66969299, 72.87749481, -38.96898651, -23.85477448, 0.78299189, -0.49240041, 0.37827182, -0.03709582, 1.05874944, 1.10990107, 0.41184092, 0.00000000, 0.00000000, 0.00000000, 0.00000000
5, 0.0901, 9, -0.70367205, -1.72028339, -2.00652504, -26.32261086, -91.86651611, 118.82295227, -11.66325665, 18.44489861, -129.55276489, 74.11517334, -40.51625443, -24.48444176, 0.77588582, -0.49389300, 0.38991216, -0.04516053, 1.17935324, 1.21747422, 0.37503624, 0.00000000, 0.00000000, 0.00000000, 0.00000000
4, 0.0300, 3, 0.13839760, 0.43966803, -0.10493948, 26.13921928, 1.38262224, 68.28981781, -62.40865326, 17.24641991, -78.48582458, 0.62457222, 8.89490318, 0.66747034, 1.00000000, 0.00000000, 0.00000000, 0.00000000, 0.07905638, -0.00423346, -0.52128583, 101.52600861, -16.71896172, 34.84999847, 0.00000000
4, 0.0400, 4, 0.11597624, 0.38060227, -0.08890251, 28.63005829, 5.93249893, 76.45089722, -62.26249695, 15.17100239, -79.15814209, 0.93706876, 9.65246964, 0.74808806, 1.00000000, 0.00000000, 0.00000000, 0.00000000, 0.10478452, -0.01201004, -0.58301669, 101.52600861, -16.71896172, 34.84999847, 0.00000000
4, 0.0500, 5, 0.10733535, 0.32595238, -0.07008003, 30.62268829, 12.67961693, 86.30306244, -61.15171051, 17.15872574, -79.88892365, 1.25695741, 10.52151489, 0.78828353, 1.00000000, 0.00000000, 0.00000000, 0.00000000, 0.11917690, -0.02363797, -0.63858628, 101.52600861, -16.71896172, 34.84999847, 0.00000000
4, 0.0600, 6, 0.11598004, 0.26638195, -0.05344134, 31.97142220, 19.94211388, 97.29522705, -61.15171051, 17.15872574, -79.88892365, 1.02990842, 12.61476231, 0.11503598, 1.00000000, 0.00000000, 0.00000000, 0.00000000, 0.12254182, -0.02969383, -0.69432056, 101.52600861, -16.71896172, 34.84999847, 0.00000000
4, 0.0700, 7, 0.14340954, 0.22160096, -0.05049843, 33.89780807, 28.09428787, 108.81473541, -59.48553085, 15.84332085, -79.97661591, 1.34701538, 13.73958778, 0.05574908, 1.00000000, 0.00000000, 0.00000000, 0.00000000, 0.12136739, -0.02086111, -0.72717631, 101.52600861, -16.71896172, 34.84999847, 0.00000000
5, 0.1001, 10, -0.82955575, -1.93649805, -2.13121581, -28.80211258, -99.91501617, 126.05868530, -11.66325665, 18.44489861, -129.55276489, 75.44396210, -41.79492569, -25.17324257, 0.76875651, -0.49636456, 0.39991942, -0.05196273, 1.31434989, 1.45919371, 0.36129236, 0.00000000, 0.00000000, 0.00000000, 0.00000000
