SensorId, TimeStamp (s), FrameNumber, AccX (g), AccY (g), AccZ (g), GyroX (deg/s), GyroY (deg/s), GyroZ (deg/s), MagX (uT), MagY (uT), MagZ (uT), EulerX (deg), EulerY (deg), EulerZ (deg), QuatW, QuatX, QuatY, QuatZ, LinAccX (g), LinAccY (g), LinAccZ (g), Pressure (kPa), Altitude (m), Temperature (degC), HeaveMotion (m)
5, 0.0001, 0, 0.58734471, 0.82876623, -0.45707926, 24.86338425, 37.48915482, 28.19106674, -11.72171879, 76.38117218, -84.82899475, 1.19893014, 5.34991932, -2.93179202, 0.99851632, -0.01164146, -0.04638470, 0.02604076, -0.16076247, 0.11914273, 0.08051087, 0.00000000, 0.00000000, 0.00000000, 0.00000000
5, 0.0101, 1, 0.62588799, 0.82815957, -0.48479715, 25.29080963, 28.87868500, 29.36495590, -11.42940617, 76.08885956, -84.59514618, 1.36097550, 5.73114777, -3.16563129, 0.99828172, -0.01323789, -0.04964260, 0.02817885, -0.18748796, 0.14279363, 0.10233474, 0.00000000, 0.00000000, 0.00000000, 0.00000000
5, 0.0201, 2, 0.60436821, 0.86025929, -0.50905716, 26.35587502, 19.16059494, 31.20536804, -11.60479355, 76.38117218, -84.91668701, 1.57251179, 6.09419346, -3.30963492, 0.99805474, -0.01523212, -0.05273390, 0.02956358, -0.14817643, 0.15103227, 0.13253358, 0.00000000, 0.00000000, 0.00000000, 0.00000000
2, -0.0001, 0, -0.76335984, 0.81009901, 0.15463065, 36.50932312, 1.18314040, 18.52181816, -35.60362244, 25.02192307, 67.87489319, -4.80454445, 0.17419310, -1.03897035, 0.99907964, 0.04189973, -0.00189875, 0.00899491, -0.18929541, -0.06082286, 0.10141034, 0.00000000, 0.00000000, 0.00000000, 0.00000000
2, 0.0099, 1, -0.80158412, 0.75443423, 0.16360533, 35.53707886, 3.07172465, 20.12753105, -35.25284958, 25.46039200, 68.10874176, -5.42248058, 1.65403187, -0.34884235, 0.99877405, 0.04725336, -0.01456141, 0.00235775, -0.11261720, -0.07082053, 0.09871500, 0.00000000, 0.00000000, 0.00000000, 0.00000000
2, 0.0199, 2, -0.79840022, 0.74641192, 0.15849654, 31.22331047, 7.82615280, 21.41852570, -35.25284958, 25.46039200, 68.10874176, -5.16511774, 1.88508713, -0.16792488, 0.99884927, 0.04502865, -0.01649904, 0.00072253, -0.08758771, -0.05895162, 0.09229453, 0.00000000, 0.00000000, 0.00000000, 0.00000000
5, 0.0301, 3, 0.55020982, 0.89512277, -0.54111266, 30.25699043, 11.50651073, 32.23514557, -11.60479355, 76.38117218, -84.91668701, 3.40647531, 6.71615505, -2.63996649, 0.99753702, -0.03101257, -0.05785101, 0.02472687, -0.07544506, 0.15778841, 0.15764484, 0.00000000, 0.00000000, 0.00000000, 0.00000000
2, 0.0299, 3, -0.83378619, 0.75100195, 0.12025879, 24.09092522, 16.58110428, 19.09927940, -35.66208649, 25.51885414, 68.19643402, -4.88372755, 2.08170438, -0.09287838, 0.99892747, 0.04258389, -0.01818332, 0.00003570, -0.06600858, -0.02537146, 0.12281060, 0.00000000, 0.00000000, 0.00000000, 0.00000000
5, 0.0401, 4, 0.49828565, 0.92851114, -0.57891482, 35.65369034, 8.20979881, 33.66521835, -11.31248188, 75.94270325, -84.71207428, 3.75010800, 7.06443739, -2.69625115, 0.99724239, -0.03409754, -0.06079141, 0.02548510, -0.00228222, 0.15588233, 0.18517289, 0.00000000, 0.00000000, 0.00000000, 0.00000000
5, 0.0501, 5, 0.43772158, 0.95221639, -0.60983372, 40.54724884, 8.12973404, 34.40721130, -10.69862556, 76.38117218, -84.65361023, 4.13947296, 7.42063236, -2.76264930, 0.99690682, -0.03758863, -0.06378216, 0.02637655, 0.07182738, 0.17016062, 0.19790620, 0.00000000, 0.00000000, 0.00000000, 0.00000000
5, 0.0601, 6, 0.39174271, 0.96316433, -0.63722634, 44.42706299, 12.44902229, 35.07419586, -10.52323914, 76.23501587, -85.09207916, 4.54675627, 7.80225086, -2.87392378, 0.99651653, -0.04126792, -0.06696749, 0.02769721, 0.12814742, 0.18512835, 0.20306107, 0.00000000, 0.00000000, 0.00000000, 0.00000000
5, 0.0701, 7, 0.39682764, 0.96752214, -0.65149289, 47.16024017, 19.43953133, 37.97513962, -10.64016342, 76.38117218, -85.44285583, 4.95348263, 8.24111176, -3.03987837, 0.99605036, -0.04499111, -0.07061961, 0.02953559, 0.13347581, 0.19003314, 0.21483961, 0.00000000, 0.00000000, 0.00000000, 0.00000000
5, 0.0801, 8, 0.43841639, 0.96737075, -0.67666042, 51.20062637, 25.91226768, 41.88115311, -10.64016342, 76.38117218, -85.44285583, 7.06614017, 7.49569368, -1.42946911, 0.99583715, -0.06230187, -0.06446923, 0.01645163, 0.09986830, 0.19932188, 0.23838161, 0.00000000, 0.00000000, 0.00000000, 0.00000000
