SensorId, TimeStamp (s), FrameNumber, AccX (g), AccY (g), AccZ (g), GyroX (deg/s), GyroY (deg/s), GyroZ (deg/s), MagX (uT), MagY (uT), MagZ (uT), EulerX (deg), EulerY (deg), EulerZ (deg), QuatW, QuatX, QuatY, QuatZ, LinAccX (g), LinAccY (g), LinAccZ (g), Pressure (kPa), Altitude (m), Temperature (degC), HeaveMotion (m)
5, -0.0002, 0, 0.84355992, 0.54296088, -0.02244502, 1.07588446, -8.33129406, -1.30820334, 31.33586693, 99.15229034, -16.10640144, -0.13767573, -1.65744770, 0.66662228, 0.99987787, 0.00111716, 0.01447018, -0.00579935, 0.00725610, 0.01265740, 0.00316935, 0.00000000, 0.00000000, 0.00000000, 0.00000000
5, 0.0098, 1, 0.83475792, 0.53321314, -0.02285201, 1.67752600, -7.97209454, -0.81656981, 31.27740479, 98.24612427, -16.25255775, -0.06151265, -1.66743279, 0.69284701, 0.99987578, 0.00044876, 0.01455355, -0.00603774, 0.00317556, 0.01193712, -0.00936822, 0.00000000, 0.00000000, 0.00000000, 0.00000000
5, 0.0198, 2, 0.83788288, 0.53022218, -0.03573899, 2.17454362, -4.84455776, -0.32772425, 31.59894753, 98.97690582, -15.75562668, -0.00900235, -1.67182684, 0.69886005, 0.99987507, -0.00001042, 0.01458913, -0.00609687, -0.00083800, 0.02380019, -0.00805363, 0.00000000, 0.00000000, 0.00000000, 0.00000000
5, 0.0298, 3, 0.82176608, 0.52997112, -0.03988230, 3.14939880, -1.74202263, -0.80949235, 31.39432907, 99.85384369, -16.19409561, 0.02242834, -1.68032205, 0.68058169, 0.99987495, -0.00028279, 0.01466163, -0.00594139, 0.00715940, 0.02727223, -0.02198404, 0.00000000, 0.00000000, 0.00000000, 0.00000000
5, 0.0398, 4, 0.79864746, 0.52187955, -0.02247140, 3.15087271, 0.73286283, -2.34539580, 31.39432907, 99.85384369, -16.19409561, 0.09089556, -1.83276188, 0.64859384, 0.99985570, -0.00088362, 0.01598843, -0.00567198, 0.01080298, 0.00948667, -0.04617193, 0.00000000, 0.00000000, 0.00000000, 0.00000000
2, 0.0000, 0, 0.85696566, 0.46447831, -0.00210893, -16.04557228, -21.26959419, -7.27959108, -39.66676331, 36.68518066, -54.10698700, 0.08362916, -1.39636922, 6.71033192, 0.99821103, -0.00144164, 0.01212172, -0.05852973, 0.01937916, -0.02231337, -0.02616427, 0.00000000, 0.00000000, 0.00000000, 0.00000000
5, 0.0498, 5, 0.81282085, 0.51408219, -0.01568673, 2.02339721, 2.55896115, -3.37413478, 31.42355919, 99.26921844, -15.78485775, 0.07957117, -1.86584783, 0.61765945, 0.99985266, -0.00078205, 0.01627789, -0.00540066, -0.00549802, 0.00217278, -0.03798201, 0.00000000, 0.00000000, 0.00000000, 0.00000000
2, 0.0100, 1, 0.87634468, 0.46805194, 0.01460932, -12.56823349, -15.42273712, -4.87123299, -39.66676331, 36.68518066, -54.10698700, 0.16062643, -1.45325935, 6.88951111, 0.99811095, -0.00216108, 0.01257459, -0.06009895, 0.01216843, -0.04078301, -0.00751244, 0.00000000, 0.00000000, 0.00000000, 0.00000000
5, 0.0598, 6, 0.83699948, 0.51492298, -0.00244639, -0.18646871, 2.92514277, -3.45995855, 31.33586693, 99.12306213, -15.66793346, 0.05324006, -1.89974010, 0.60386306, 0.99984860, -0.00055190, 0.01657492, -0.00527665, -0.01798419, -0.01070982, -0.01690705, 0.00000000, 0.00000000, 0.00000000, 0.00000000
2, 0.0200, 2, 0.90126854, 0.48428452, 0.00816114, -8.16958046, -13.16373253, -2.79472256, -40.16369629, 36.65594864, -53.66851807, -0.16449247, -1.67901897, 7.02753687, 0.99801326, 0.00053464, 0.01471209, -0.06126074, 0.01461924, -0.03470177, 0.02217593, 0.00000000, 0.00000000, 0.00000000, 0.00000000
