SensorId, TimeStamp (s), FrameNumber, AccX (g), AccY (g), AccZ (g), GyroX (deg/s), GyroY (deg/s), GyroZ (deg/s), MagX (uT), MagY (uT), MagZ (uT), EulerX (deg), EulerY (deg), EulerZ (deg), QuatW, QuatX, QuatY, QuatZ, LinAccX (g), LinAccY (g), LinAccZ (g), Pressure (kPa), Altitude (m), Temperature (degC), HeaveMotion (m)
2, -0.0001, 0, -1.02194715, 0.60811454, 0.02887162, 357.60177612, 66.29928589, -432.01666260, -20.19877243, 19.29260445, 22.88804436, 82.55990601, -56.50647354, -57.10065079, 0.73072636, -0.34045565, 0.59022111, 0.04204956, -0.21699521, -0.67709816, 0.90378302, 0.00000000, 0.00000000, 0.00000000, 0.00000000
2, 0.0099, 1, -0.70373744, 0.49674496, 0.08773745, 368.69180298, 77.41389465, -430.15261841, -18.82490540, 14.96638393, 23.18035698, 92.76692200, -57.14154434, -64.57664490, 0.69709992, -0.36126781, 0.61853141, 0.03092293, -0.44797549, -0.71356934, 0.74359727, 0.00000000, 0.00000000, 0.00000000, 0.00000000
2, 0.0199, 2, -0.54757553, 0.36690274, 0.23434786, 356.34851074, 88.75022888, -430.75985718, -17.18795586, 7.89242887, 23.61882401, 102.98495483, -56.88471222, -72.11386108, 0.66195446, -0.38172233, 0.64472187, 0.02093160, -0.51292992, -0.82840341, 0.63226974, 0.00000000, 0.00000000, 0.00000000, 0.00000000
5, 0.0000, 0, 2.06829643, -1.60531449, 0.75408578, 6.23854065, 304.34716797, -187.09149170, -27.00964546, 7.83396673, -122.36187744, 140.10391235, -16.51617050, -90.17636108, 0.33398995, -0.62207353, 0.69339824, 0.14378542, -0.76122868, -0.73019081, -1.95728731, 0.00000000, 0.00000000, 0.00000000, 0.00000000
2, 0.0299, 3, -0.38441390, 0.30146909, 0.53557849, 344.09173584, 101.56043243, -425.35589600, -14.67407131, 3.71236467, 24.64191818, 120.46201324, -68.75553894, -99.72023010, 0.63886112, -0.24752307, 0.72841036, -0.00270013, -0.61997575, -1.05087018, 0.54015785, 0.00000000, 0.00000000, 0.00000000, 0.00000000
2, 0.0399, 4, -0.08343691, 0.13682398, 0.84123772, 333.52746582, 112.28953552, -424.15429688, -12.24788094, 0.26308095, 25.08038521, 132.07852173, -66.39058685, -108.17407227, 0.60454184, -0.26845926, 0.74975115, -0.01822435, -0.84702361, -1.15545475, 0.27229998, 0.00000000, 0.00000000, 0.00000000, 0.00000000
2, 0.0499, 5, 0.18099001, -0.03701597, 1.04120755, 329.58447266, 124.70063782, -427.11151123, -12.24788094, 0.26308095, 25.08038521, 141.55615234, -63.38206863, -114.41406250, 0.56872118, -0.28976357, 0.76908594, -0.03317052, -0.96134603, -1.30643272, 0.04928107, 0.00000000, 0.00000000, 0.00000000, 0.00000000
5, 0.0100, 1, 2.26732349, -1.42150307, 0.40929747, -30.42555618, 351.35443115, -158.72447205, -24.58345413, 6.48933077, -122.82958221, 147.59390259, -8.06391811, -91.77770996, 0.24222642, -0.65266305, 0.70142150, 0.15285678, -1.04126239, -0.44563490, -1.81036806, 0.00000000, 0.00000000, 0.00000000, 0.00000000
2, 0.0599, 6, 0.36191681, -0.44185925, 1.32101047, 329.64770508, 134.73260498, -429.42337036, -8.97398376, -3.85852075, 26.22040367, 149.32157898, -59.95615768, -118.83248138, 0.53142148, -0.31123778, 0.78640139, -0.04790732, -0.88062066, -1.49352229, -0.34776923, 0.00000000, 0.00000000, 0.00000000, 0.00000000
2, 0.0699, 7, 0.77930480, -0.54958713, 1.50355744, 323.48495483, 127.64755249, -431.60763550, -5.61239386, -7.98012257, 27.74042702, 155.83512878, -56.27930450, -122.04135895, 0.49285981, -0.33140388, 0.80213511, -0.06196875, -1.14989102, -1.62945342, -0.59035349, 0.00000000, 0.00000000, 0.00000000, 0.00000000
5, 0.0200, 2, 2.60303307, -1.40808880, 0.47059944, -44.90665436, 434.72918701, -116.61088562, -21.48494530, 7.95089149, -122.88804626, 149.66355896, -6.56525135, -88.29940033, 0.22592977, -0.68095309, 0.68191653, 0.14229749, -1.18174505, -0.43215132, -1.95298696, 0.00000000, 0.00000000, 0.00000000, 0.00000000
2, 0.0799, 8, 1.33358562, -0.58201844, 1.73491275, 345.01263428, 131.05105591, -454.25820923, -2.28003502, -11.40017509, 29.75738144, 176.79737854, -44.95300293, -136.49571228, 0.36451346, -0.33238459, 0.86186498, -0.11764024, -1.54348218, -1.78132701, -0.81100941, 0.00000000, 0.00000000, 0.00000000, 0.00000000
2, 0.0899, 9, 1.77951860, -0.61440629, 2.03942895, 362.62002563, 145.71321106, -478.39428711, 3.01081562, -14.52791595, 31.92049026, -179.07157898, -40.47701263, -136.31233215, 0.31825238, -0.35169685, 0.86982340, -0.13576476, -1.78095305, -1.91631019, -0.94100553, 0.00000000, 0.00000000, 0.00000000, 0.00000000
2, 0.0999, 10, 2.59537506, -0.43474528, 1.98445308, 367.50418091, 174.03906250, -494.10513306, 3.01081562, -14.52791595, 31.92049026, -175.17602539, -35.92707825, -135.42330933, 0.26993287, -0.37247026, 0.87447929, -0.15390971, -2.52567339, -1.83721888, -1.11858940, 0.00000000, 0.00000000, 0.00000000, 0.00000000
5, 0.0300, 3, 2.95501041, -2.01953292, 0.80267268, -52.47417450, 497.92224121, -54.61340332, -18.00643158, 7.60011673, -123.12189484, 151.89500427, -5.74510431, -84.09208679, 0.21264541, -0.71132880, 0.65790480, 0.12631139, -0.99331987, -0.48364189, -2.68842888, 0.00000000, 0.00000000, 0.00000000, 0.00000000
2, 0.1099, 11, 3.19451070, -1.32918227, 2.00368643, 296.67572021, 200.96333313, -496.44992065, 7.48319197, -16.57410049, 34.55130005, -172.25042725, -31.51359558, -133.57084656, 0.22336139, -0.39536202, 0.87524509, -0.16656737, -2.56424046, -1.65614510, -2.14162827, 0.00000000, 0.00000000, 0.00000000, 0.00000000
2, 0.1199, 12, 3.98566556, -1.69416118, 2.29706526, 205.89669800, 217.45556641, -490.80285645, 12.86173630, -18.91259766, 36.56825638, -170.30328369, -27.33675003, -130.95881653, 0.18013710, -0.41999501, 0.87259388, -0.17243817, -2.99917936, -1.84565544, -2.84573317, 0.00000000, 0.00000000, 0.00000000, 0.00000000
5, 0.0400, 4, 2.57459307, -2.58614230, 0.92446524, -73.07228851, 481.62017822, 2.27261734, -14.87869072, 7.95089149, -122.47880554, 153.76101685, -5.56047821, -79.77612305, 0.20425291, -0.73933131, 0.63226384, 0.10914397, -0.32880235, -0.35718057, -2.86863947, 0.00000000, 0.00000000, 0.00000000, 0.00000000
2, 0.1299, 13, 3.89502072, -1.56555772, 2.71346354, 117.02075958, 229.22760010, -441.92251587, 17.48026848, -20.11107826, 38.58520889, -164.68307495, -14.38945961, -135.25126648, 0.06445014, -0.38972545, 0.90289837, -0.16951399, -2.84921789, -2.22931218, -2.71702838, 0.00000000, 0.00000000, 0.00000000, 0.00000000
2, 0.1399, 14, 3.48101950, -1.59646690, 3.33957291, 39.37091827, 251.40359497, -374.16485596, 21.13417053, -19.26337242, 38.81905746, -163.62551880, -11.93728733, -131.83114624, 0.03616463, -0.41525286, 0.89269853, -0.17130846, -2.25768709, -2.75835443, -2.59922814, 0.00000000, 0.00000000, 0.00000000, 0.00000000
2, 0.1499, 15, 2.96995640, -1.44549310, 3.33242607, -43.98711014, 290.19839478, -284.47763062, 21.13417053, -19.26337242, 38.81905746, -163.14045715, -10.61236668, -128.08856201, 0.01836431, -0.44328249, 0.87967342, -0.17128384, -1.85060441, -2.76300097, -2.22006202, 0.00000000, 0.00000000, 0.00000000, 0.00000000
