SensorId, TimeStamp (s), FrameNumber, AccX (g), AccY (g), AccZ (g), GyroX (deg/s), GyroY (deg/s), GyroZ (deg/s), MagX (uT), MagY (uT), MagZ (uT), EulerX (deg), EulerY (deg), EulerZ (deg), QuatW, QuatX, QuatY, QuatZ, LinAccX (g), LinAccY (g), LinAccZ (g), Pressure (kPa), Altitude (m), Temperature (degC), HeaveMotion (m)
5, 0.0000, 0, 0.82468468, -0.01820406, -0.25048068, -36.42961502, -9.38798618, -0.81871367, 16.10640144, 49.16690826, -90.61677551, 13.97628307, 0.33691993, 37.57155609, 0.93980747, -0.11424246, -0.04194219, -0.31929830, -0.15921780, 0.01591945, -0.15781933, 0.00000000, 0.00000000, 0.00000000, 0.00000000
5, 0.0100, 1, 0.80192775, 0.00880046, -0.25849685, -37.00957108, -8.70791531, -1.79410863, 16.54487038, 48.78690338, -90.11985016, 13.97310543, 0.20648435, 37.92910385, 0.93876743, -0.11445249, -0.04122113, -0.32236212, -0.09914955, 0.00552039, -0.17150056, 0.00000000, 0.00000000, 0.00000000, 0.00000000
5, 0.0200, 2, 0.82633519, -0.05035491, -0.29164052, -36.35264969, -0.11675327, -3.22762346, 16.42794418, 47.76381302, -90.06138611, 13.88603497, 0.09099739, 38.26395035, 0.93786931, -0.11394696, -0.04036325, -0.32525092, -0.15388817, 0.05396783, -0.15868258, 0.00000000, 0.00000000, 0.00000000, 0.00000000
5, 0.0300, 3, 0.82486933, -0.09343857, -0.32954404, -38.39731216, 4.78979445, -0.84130591, 16.28178787, 49.16690826, -90.06138611, 13.75383854, 0.00847371, 38.61812210, 0.93696207, -0.11297725, -0.03966190, -0.32827628, -0.18602130, 0.10391830, -0.16764307, 0.00000000, 0.00000000, 0.00000000, 0.00000000
5, 0.0400, 4, 0.81648445, -0.02753114, -0.33641198, -39.05685425, 4.90701723, -0.88269442, 16.83718109, 49.51768494, -89.73983765, 13.61847401, -0.07478336, 38.97843933, 0.93602890, -0.11198696, -0.03894554, -0.33134896, -0.12179341, 0.09548394, -0.16184521, 0.00000000, 0.00000000, 0.00000000, 0.00000000
5, 0.0500, 5, 0.88367814, 0.07618427, -0.36987326, -37.50640106, 7.97771740, -5.66644144, 16.83718109, 49.51768494, -89.73983765, 14.74385834, -0.17092279, 39.46516800, 0.93343270, -0.12127451, -0.04192883, -0.33501947, -0.03225530, 0.09767929, -0.07141047, 0.00000000, 0.00000000, 0.00000000, 0.00000000
5, 0.0600, 6, 0.99994892, 0.11559373, -0.43635780, -31.87750435, 9.77364731, -13.95007610, 17.12949371, 49.54691696, -89.24291229, 14.54432106, -0.34754667, 39.71022415, 0.93285406, -0.12007910, -0.04016298, -0.33727017, -0.00635382, 0.13825786, 0.05759923, 0.00000000, 0.00000000, 0.00000000, 0.00000000
5, 0.0700, 7, 1.17248070, 0.06188307, -0.49333012, -24.79060745, 6.24791956, -19.83783531, 17.01256943, 49.28383636, -89.82753754, 14.37834167, -0.57111758, 39.87643433, 0.93244630, -0.11932930, -0.03802661, -0.33890781, -0.08427428, 0.21045245, 0.21685539, 0.00000000, 0.00000000, 0.00000000, 0.00000000
2, 0.0000, 0, 0.81256366, -0.73835218, 0.13851286, 44.74542236, -36.38111115, 64.53311157, 54.22391129, 19.93569183, 61.26863480, -29.44446373, 58.37775040, -17.18756485, 0.85339510, 0.14888963, -0.49953556, 0.00362357, -0.14309286, -0.18088841, -0.24354376, 0.00000000, 0.00000000, 0.00000000, 0.00000000
2, 0.0100, 1, 0.96722025, -0.86937237, 0.25224793, 41.66147995, -31.42566681, 57.51139069, 54.19467926, 19.87722778, 60.53785324, -30.08297157, 58.80241776, -18.29110527, 0.85090894, 0.14786391, -0.50401103, 0.00794381, -0.29331118, -0.33769414, -0.16366306, 0.00000000, 0.00000000, 0.00000000, 0.00000000
2, 0.0200, 2, 1.18041039, -0.95870608, 0.33810091, 34.02315903, -12.83108139, 50.03532028, 54.57468414, 18.41566849, 60.83016586, -36.23754501, 59.23595428, -22.57073021, 0.84033471, 0.17320678, -0.51353359, 0.01096720, -0.46296275, -0.44063115, -0.01673621, 0.00000000, 0.00000000, 0.00000000, 0.00000000
5, 0.0800, 8, 1.32989824, 0.01364626, -0.52499527, -19.26520920, 6.52269936, -20.60266685, 16.92487526, 47.17918777, -90.44139099, 14.22007942, -0.78711915, 39.98836899, 0.93218851, -0.11864290, -0.03591562, -0.34008634, -0.16041496, 0.25626945, 0.36123097, 0.00000000, 0.00000000, 0.00000000, 0.00000000
5, 0.0900, 9, 1.42414701, -0.00642218, -0.56518847, -16.83511353, 15.05925179, -17.64347839, 17.21718788, 49.22537231, -89.71060944, 13.99450493, -0.94348896, 40.07440186, 0.93209797, -0.11724401, -0.03406094, -0.34100896, -0.19310278, 0.30367553, 0.45036924, 0.00000000, 0.00000000, 0.00000000, 0.00000000
5, 0.1000, 10, 1.55876815, -0.01185319, -0.67113459, -14.51752377, 23.31077957, -11.53495789, 17.21718788, 49.22537231, -89.71060944, 15.53360939, 0.42808494, 41.54679108, 0.92658579, -0.12504232, -0.05139150, -0.35094458, -0.19648562, 0.40412450, 0.58753616, 0.00000000, 0.00000000, 0.00000000, 0.00000000
5, 0.1100, 11, 1.67589474, -0.06010178, -0.78102970, -11.52700329, 23.65822983, -2.38107228, 17.48026848, 49.57614517, -89.59368134, 15.27985382, 0.44987607, 41.61531067, 0.92665863, -0.12289283, -0.05086391, -0.35158780, -0.22106695, 0.50435448, 0.70252633, 0.00000000, 0.00000000, 0.00000000, 0.00000000
5, 0.1200, 12, 1.75464165, -0.06463496, -0.88337201, -6.64811945, 14.83448696, 6.42501879, 17.36334419, 49.63460922, -88.92136383, 15.14251709, 0.53766435, 41.67726135, 0.92664790, -0.12148431, -0.05121791, -0.35205400, -0.21546389, 0.60744947, 0.78345484, 0.00000000, 0.00000000, 0.00000000, 0.00000000
2, 0.0300, 3, 1.35539138, -1.12546730, 0.36231655, 30.70042610, 8.18667126, 45.86202240, 54.63314819, 18.62028694, 61.56094742, -37.17292404, 59.29769516, -23.65579605, 0.83857465, 0.17501502, -0.51570493, 0.01452023, -0.68158066, -0.49862242, 0.05145581, 0.00000000, 0.00000000, 0.00000000, 0.00000000
2, 0.0400, 4, 1.45212138, -1.28041160, 0.37730581, 31.80721664, 22.24566269, 46.66241837, 54.63314819, 18.62028694, 61.56094742, -38.27306747, 59.25083160, -24.82571411, 0.83687603, 0.17791884, -0.51734889, 0.01826665, -0.84634334, -0.57038033, 0.04260343, 0.00000000, 0.00000000, 0.00000000, 0.00000000
2, 0.0500, 5, 1.43389523, -1.41246200, 0.34530079, 30.89574051, 31.14037704, 50.37742615, 54.95469284, 17.94796753, 61.15171051, -39.51623917, 59.15345383, -26.07127571, 0.83503830, 0.18164624, -0.51887292, 0.02205962, -0.93603182, -0.58813047, -0.05254107, 0.00000000, 0.00000000, 0.00000000, 0.00000000
2, 0.0600, 6, 1.39319801, -1.47459054, 0.28888315, 28.48984909, 36.48852158, 53.69972610, 54.86699677, 17.62642479, 61.73633194, -40.85087967, 59.03285217, -27.35132408, 0.83303225, 0.18592773, -0.52040899, 0.02574280, -0.97113889, -0.55326021, -0.12952802, 0.00000000, 0.00000000, 0.00000000, 0.00000000
5, 0.1300, 13, 1.75410879, 0.01782334, -0.93428278, 2.85937285, 2.05809069, 12.48411465, 18.47413063, 49.22537231, -89.35983276, 15.16156864, 0.66569221, 41.68601227, 0.92664784, -0.12123968, -0.05232046, -0.35197645, -0.12270585, 0.63549149, 0.80343866, 0.00000000, 0.00000000, 0.00000000, 0.00000000
5, 0.1400, 14, 1.77898288, 0.04835356, -0.95380646, 10.62571526, -1.55408251, 14.12186527, 17.53873062, 49.34229660, -89.73983765, 15.23525429, 0.81737787, 41.63184357, 0.92679036, -0.12139304, -0.05371514, -0.35133767, -0.09204352, 0.64529586, 0.83567864, 0.00000000, 0.00000000, 0.00000000, 0.00000000
