SensorId, TimeStamp (s), FrameNumber, AccX (g), AccY (g), AccZ (g), GyroX (deg/s), GyroY (deg/s), GyroZ (deg/s), MagX (uT), MagY (uT), MagZ (uT), EulerX (deg), EulerY (deg), EulerZ (deg), QuatW, QuatX, QuatY, QuatZ, LinAccX (g), LinAccY (g), LinAccZ (g), Pressure (kPa), Altitude (m), Temperature (degC), HeaveMotion (m)
2, -0.0000, 0, 1.06884634, 0.30558664, 0.08733255, 18.87570381, 3.90499139, 12.41928101, -35.31131363, 37.41595840, -61.15171051, 5.43477488, 8.78073406, -1.41307521, 0.99582404, -0.04820976, -0.07587658, 0.01591007, -0.06040445, 0.00668250, 0.10614426, 0.00000000, 0.00000000, 0.00000000, 0.00000000
2, 0.0100, 1, 1.08053267, 0.29777500, 0.09862677, 14.70489693, 1.45553517, 16.71737289, -35.10669327, 36.68518066, -61.15171051, 5.38011217, 8.92678165, -1.58128512, 0.99572343, -0.04785895, -0.07708326, 0.01739395, -0.06346050, -0.00619388, 0.11681964, 0.00000000, 0.00000000, 0.00000000, 0.00000000
2, 0.0200, 2, 1.10488391, 0.29980707, 0.09699167, 9.76569366, 0.57498348, 20.55286598, -35.01900101, 35.86670685, -61.50248337, 5.29630232, 9.10558319, -1.70839202, 0.99561483, -0.04723368, -0.07859740, 0.01851210, -0.07088750, -0.00240139, 0.13923214, 0.00000000, 0.00000000, 0.00000000, 0.00000000
2, 0.0300, 3, 1.13597631, 0.31395480, 0.09279209, 5.71345949, -1.93329561, 23.52069664, -35.01900101, 35.86670685, -61.50248337, 5.19840765, 9.62085247, -1.80406189, 0.99526918, -0.04650257, -0.08305108, 0.01947363, -0.07183716, 0.01071374, 0.17180328, 0.00000000, 0.00000000, 0.00000000, 0.00000000
2, 0.0400, 4, 1.13073564, 0.35067359, 0.10751156, 5.61215401, -3.57700610, 25.44242668, -34.37591171, 35.80824280, -61.26863480, 5.10790253, 9.85918808, -1.88570940, 0.99511373, -0.04580186, -0.08510400, 0.02020662, -0.02713722, 0.02105845, 0.18568310, 0.00000000, 0.00000000, 0.00000000, 0.00000000
2, 0.0500, 5, 1.12770224, 0.38239923, 0.10237892, 8.32000923, -3.57709765, 26.67162132, -34.22975540, 36.88979721, -61.32709503, 5.01835489, 10.10990906, -1.99451029, 0.99493778, -0.04513457, -0.08725435, 0.02117705, -0.00074373, 0.04483733, 0.19405982, 0.00000000, 0.00000000, 0.00000000, 0.00000000
2, 0.0600, 6, 1.11757398, 0.38923717, 0.08578874, 12.20310116, -3.02403712, 26.51394081, -33.46974564, 36.45132828, -61.50248337, 4.93585730, 10.35920048, -2.14093947, 0.99474663, -0.04456185, -0.08937732, 0.02247529, 0.00480955, 0.06390277, 0.18398046, 0.00000000, 0.00000000, 0.00000000, 0.00000000
2, 0.0700, 7, 1.11155486, 0.37956259, 0.09718025, 14.18729401, -1.48602283, 25.47949791, -33.46974564, 36.45132828, -61.50248337, 4.85139894, 10.59291363, -2.31040859, 0.99455720, -0.04399386, -0.09135788, 0.02396275, 0.01026949, 0.05054088, 0.17853971, 0.00000000, 0.00000000, 0.00000000, 0.00000000
2, 0.0800, 8, 1.12029505, 0.37818477, 0.11331505, 12.65482235, -1.26403487, 23.03429794, -33.64513397, 36.59748459, -61.09324646, 5.00672579, 10.29865360, -2.37700510, 0.99471831, -0.04535221, -0.08874449, 0.02455769, 0.01505630, 0.03685126, 0.19020709, 0.00000000, 0.00000000, 0.00000000, 0.00000000
2, 0.0900, 9, 1.11395025, 0.36437151, 0.12324868, 9.66828346, -0.88557851, 19.55796242, -33.35282135, 36.77287292, -61.50248337, 4.93656301, 10.47592735, -2.49683619, 0.99457836, -0.04486345, -0.09025166, 0.02560686, 0.00951741, 0.01904694, 0.18148385, 0.00000000, 0.00000000, 0.00000000, 0.00000000
2, 0.1000, 10, 1.14343309, 0.35127625, 0.10759509, 5.82782888, 0.36672068, 16.71284485, -33.38205338, 36.50979233, -61.59017944, 4.86019468, 10.61946678, -2.58224344, 0.99447262, -0.04429109, -0.09148173, 0.02633828, -0.01863802, 0.02587618, 0.19933754, 0.00000000, 0.00000000, 0.00000000, 0.00000000
2, 0.1100, 11, 1.16772580, 0.35286441, 0.09413004, 3.25671148, 0.23700210, 14.23974228, -33.14820099, 36.12978745, -61.61940765, 4.79071283, 10.74078941, -2.63941765, 0.99438655, -0.04375387, -0.09252892, 0.02682078, -0.03299377, 0.03916120, 0.21849720, 0.00000000, 0.00000000, 0.00000000, 0.00000000
2, 0.1200, 12, 1.17318916, 0.36583999, 0.09182625, 3.03437304, -0.87579215, 13.16289520, -33.14820099, 36.12978745, -61.61940765, 4.73534536, 10.85871315, -2.68799019, 0.99429846, -0.04333263, -0.09354696, 0.02723761, -0.02505364, 0.04948217, 0.22790250, 0.00000000, 0.00000000, 0.00000000, 0.00000000
2, 0.1300, 13, 1.14836264, 0.36018431, 0.08594887, 4.39342642, -3.42552352, 14.07946873, -32.50511551, 35.69131851, -61.21017075, 5.01411247, 10.88713741, -2.65284634, 0.99417472, -0.04572734, -0.09374109, 0.02717045, -0.01923700, 0.05054340, 0.20253131, 0.00000000, 0.00000000, 0.00000000, 0.00000000
2, 0.1400, 14, 1.12077534, 0.33894873, 0.07510941, 5.32976818, -4.66093779, 15.80257130, -32.41742325, 36.48056030, -60.97632217, 4.98178816, 11.04938889, -2.71045399, 0.99403727, -0.04552145, -0.09513375, 0.02770184, -0.02670332, 0.04404407, 0.16777927, 0.00000000, 0.00000000, 0.00000000, 0.00000000
2, 0.1500, 15, 1.10618067, 0.32533109, 0.07010059, 4.58483744, -4.87403965, 17.22377205, -31.83279800, 36.07132339, -61.41479111, 4.94130993, 11.22418308, -2.76315331, 0.99389106, -0.04524425, -0.09663922, 0.02818725, -0.02977116, 0.04114847, 0.14892766, 0.00000000, 0.00000000, 0.00000000, 0.00000000
2, 0.1600, 16, 1.10235596, 0.32949299, 0.07151361, 2.33726907, -4.63942003, 18.52662277, -31.21894073, 35.28208160, -62.02864456, 4.88553429, 11.40694714, -2.79909372, 0.99374539, -0.04482284, -0.09822428, 0.02851573, -0.02117267, 0.04324677, 0.14795904, 0.00000000, 0.00000000, 0.00000000, 0.00000000
2, 0.1700, 17, 1.12871313, 0.36683601, 0.09479593, 0.30002463, -2.78681660, 18.25581551, -31.21894073, 35.28208160, -62.02864456, 4.81034708, 11.57601261, -2.82416964, 0.99361926, -0.04422224, -0.09969968, 0.02872668, 0.00919888, 0.04634330, 0.19179958, 0.00000000, 0.00000000, 0.00000000, 0.00000000
