SensorId, TimeStamp (s), FrameNumber, AccX (g), AccY (g), AccZ (g), GyroX (deg/s), GyroY (deg/s), GyroZ (deg/s), MagX (uT), MagY (uT), MagZ (uT), EulerX (deg), EulerY (deg), EulerZ (deg), QuatW, QuatX, QuatY, QuatZ, LinAccX (g), LinAccY (g), LinAccZ (g), Pressure (kPa), Altitude (m), Temperature (degC), HeaveMotion (m)
5, 0.0000, 0, 0.99182039, -0.03873452, 0.10319787, -10.97468472, -139.85891724, 206.65640259, 17.30488205, 38.23443222, -87.43057251, -14.65878487, 65.60259247, 0.86242008, 0.83314270, 0.11127304, -0.53647840, -0.07538228, 0.23144007, 0.00180737, 0.35049158, 0.00000000, 0.00000000, 0.00000000, 0.00000000
5, 0.0100, 1, 0.92757803, -0.03019518, 0.05230902, -14.15969086, -134.72395325, 202.70072937, 17.77258110, 36.71440887, -89.12598419, -17.01311111, 67.85656738, -1.28489089, 0.82148325, 0.11653958, -0.55335581, -0.07335731, 0.25148505, 0.04934817, 0.26747608, 0.00000000, 0.00000000, 0.00000000, 0.00000000
5, 0.0200, 2, 0.89439136, -0.04645438, 0.03192874, -16.70523834, -132.85163879, 197.02919006, 17.77258110, 36.71440887, -89.12598419, -19.72426605, 70.03079987, -3.77959442, 0.80969757, 0.12155742, -0.56963563, -0.07161605, 0.27248946, 0.05841243, 0.26500267, 0.00000000, 0.00000000, 0.00000000, 0.00000000
5, 0.0300, 3, 0.92486280, -0.07826345, -0.00330547, -18.56178856, -139.70393372, 190.10687256, 17.97719955, 34.81438065, -89.56445312, -22.75687408, 72.18461609, -6.63594961, 0.79758549, 0.12573074, -0.58576834, -0.07017574, 0.23061751, 0.06616458, 0.29027879, 0.00000000, 0.00000000, 0.00000000, 0.00000000
5, 0.0400, 4, 0.88819361, -0.13083352, -0.05859341, -21.14166832, -151.10928345, 184.69767761, 17.86027527, 33.26512527, -90.79216766, -26.23757172, 74.36170197, -9.99140549, 0.78493565, 0.12889533, -0.60207212, -0.06907515, 0.21691674, 0.07207641, 0.24954636, 0.00000000, 0.00000000, 0.00000000, 0.00000000
5, 0.0500, 5, 0.79416758, -0.21027951, -0.06192197, -24.28242493, -156.25759888, 177.42926025, 18.00643158, 31.24817276, -91.78602600, -26.76667404, 73.58406830, -9.33289814, 0.78776276, 0.13734485, -0.59579629, -0.07478672, 0.25138184, 0.02201733, 0.16916320, 0.00000000, 0.00000000, 0.00000000, 0.00000000
5, 0.0600, 6, 0.75665778, -0.25181141, -0.05763954, -28.17555618, -155.18310547, 169.67025757, 17.71411896, 29.28968048, -93.94913483, -30.46292686, 75.68422699, -12.92933273, 0.77526581, 0.13950472, -0.61153239, -0.07436010, 0.25995028, -0.00436742, 0.12509672, 0.00000000, 0.00000000, 0.00000000, 0.00000000
5, 0.0700, 7, 0.71182615, -0.24228373, -0.04679394, -30.12751007, -151.36105347, 162.05720520, 17.71411896, 29.28968048, -93.94913483, -35.04451370, 77.65876007, -17.40519905, 0.76288074, 0.14137596, -0.62651414, -0.07420179, 0.31114990, -0.00813921, 0.14361866, 0.00000000, 0.00000000, 0.00000000, 0.00000000
5, 0.0800, 8, 0.66393536, -0.26135579, -0.05314906, -31.09607887, -145.14962769, 153.92776489, 18.41566849, 27.76965714, -94.70914459, -40.86876678, 79.46084595, -23.11656189, 0.75076455, 0.14305131, -0.64060742, -0.07423714, 0.34060434, -0.01948154, 0.13483964, 0.00000000, 0.00000000, 0.00000000, 0.00000000
5, 0.0900, 9, 0.64943808, -0.30451718, -0.05419895, -32.81921768, -139.22921753, 148.23709106, 17.77258110, 26.89272118, -96.19994354, -48.52890778, 81.06658173, -30.64313126, 0.73882979, 0.14467792, -0.65394926, -0.07449356, 0.33456418, -0.05151481, 0.13730580, 0.00000000, 0.00000000, 0.00000000, 0.00000000
