archivo,intento,encestado
Mariel_01.csv,1,0
Mariel_02.csv,2,0
Mariel_03.csv,3,1
Mariel_04.csv,4,0
Mariel_05.csv,5,0
Mariel_06.csv,6,0
Mariel_07.csv,7,0
Mariel_08.csv,8,0
Mariel_09.csv,9,0
Mariel_10.csv,10,0
Mariel_11.csv,11,0
Mariel_12.csv,12,0
Mariel_13.csv,13,0
Mariel_14.csv,14,1
Mariel_15.csv,15,0
Mariel_16.csv,16,0
Mariel_17.csv,17,1
Erick_01.csv,1,1
Erick_02.csv,2,0
Erick_03.csv,3,1
Erick_04.csv,4,0
Erick_05.csv,5,0
Erick_06.csv,6,0
Erick_07.csv,7,0
Erick_08.csv,8,0
Erick_09.csv,9,0
Erick_10.csv,10,0
Erick_11.csv,11,0
Erick_12.csv,12,0
Erick_13.csv,13,1
Juliet_01.csv,1,0
Juliet_02.csv,2,0
Juliet_03.csv,3,0
Juliet_04.csv,4,0
Juliet_05.csv,5,0
Juliet_06.csv,6,0
Juliet_07.csv,7,1
Juliet_08.csv,8,0
Juliet_09.csv,9,0
Juliet_10.csv,10,1
Juliet_11.csv,11,0
Juliet_12.csv,12,0
Juliet_13.csv,13,0
Juliet_14.csv,14,0
Juliet_15.csv,15,0
Juliet_16.csv,16,0
Juliet_17.csv,17,0
Juliet_18.csv,18,0
Ian_01.csv,1,0
Ian_02.csv,2,0
Ian_03.csv,3,0
Ian_04.csv,4,0
Ian_05.csv,5,1
Ian_06.csv,6,1
Ian_07.csv,7,1
Ian_08.csv,8,0
Ian_09.csv,9,0
Ian_10.csv,10,1
Zarif_01.csv,1,0
Zarif_02.csv,2,0
Zarif_03.csv,3,0
Zarif_04.csv,4,0
Zarif_05.csv,5,0
Zarif_06.csv,6,1
Zarif_07.csv,7,0
Zarif_08.csv,8,0
Zarif_09.csv,9,0
Zarif_10.csv,10,0
Zarif_11.csv,11,0
Zarif_12.csv,12,0
Zarif_13.csv,13,0
Zarif_14.csv,14,0
Zarif_15.csv,15,0
Zarif_16.csv,16,0
Zarif_17.csv,17,0
Zarif_18.csv,18,0
Zarif_19.csv,19,0
Edgar_01.csv,1,0
Edgar_02.csv,2,0
Edgar_03.csv,3,0
Edgar_04.csv,4,0
Edgar_05.csv,5,0
Edgar_06.csv,6,0
Edgar_07.csv,7,1
Edgar_08.csv,8,1
Edgar_09.csv,9,0
Edgar_10.csv,10,0
Edgar_11.csv,11,0
Edgar_12.csv,12,0
Edgar_13.csv,13,0
Edgar_14.csv,14,0
Edgar_15.csv,15,0
Edgar_16.csv,16,1
Javier_01.csv,1,0
Javier_02.csv,2,0
Javier_03.csv,3,1
Javier_04.csv,4,1
Javier_05.csv,5,0
Javier_06.csv,6,0
Javier_07.csv,7,1
Javier_08.csv,8,0
Javier_09.csv,9,0
Javier_10.csv,10,1
Norman_01.csv,1,0
Norman_02.csv,2,1
Norman_03.csv,3,1
Norman_04.csv,4,0
Norman_05.csv,5,1
Norman_06.csv,6,0
Norman_07.csv,7,0
Norman_08.csv,8,0
Norman_09.csv,9,1
Norman_10.csv,10,0
