timestamp_muestra,sample_code,day_code,sample_label,peso_g,medida_1_alto_mm,medida_2_diametro_mm,percepcion_madurez,estado_madurez_batch
2026-03-28T07:15:08,A01,D05,A01_D05,197,84.55,64.82,maduro,maduro
2026-03-28T07:18:36,A02,D05,A02_D05,187,96.1,64.25,maduro,maduro
2026-03-28T07:22:06,A03,D05,A03_D05,209,98.25,64.73,maduro,maduro
2026-03-28T07:25:29,A04,D05,A04_D05,194,89.65,65.34,maduro,maduro
2026-03-28T07:28:50,A05,D05,A05_D05,205,91.2,66.71,maduro,maduro
2026-03-28T07:32:14,A06,D05,A06_D05,210,102.48,64.19,maduro,maduro
2026-03-28T07:35:38,A07,D05,A07_D05,198,83.6,66.65,maduro,maduro
2026-03-28T07:39:06,A08,D05,A08_D05,206,93.5,63.31,maduro,maduro
2026-03-28T07:42:40,A09,D05,A09_D05,231,96.23,66.26,maduro,maduro
2026-03-28T07:46:43,A10,D05,A10_D05,210,83.28,69.16,maduro,maduro
2026-03-28T07:50:11,A11,D05,A11_D05,204,95.41,61.29,maduro,maduro
2026-03-28T07:53:40,A12,D05,A12_D05,170,82.32,63.23,maduro,maduro
2026-03-28T07:57:19,A13,D05,A13_D05,187,78.55,65.47,maduro,maduro
2026-03-28T08:00:53,A14,D05,A14_D05,194,86.19,65.44,maduro,maduro
2026-03-28T08:04:18,A15,D05,A15_D05,234,103.68,66.32,maduro,maduro
2026-03-28T08:07:36,A16,D05,A16_D05,201,88.23,64.66,maduro,maduro
2026-03-28T08:10:57,A17,D05,A17_D05,216,101.88,64.58,maduro,maduro
2026-03-28T08:14:16,A18,D05,A18_D05,201,91.88,65.34,maduro,maduro
2026-03-28T08:17:51,A19,D05,A19_D05,192,96.91,62.09,maduro,maduro
2026-03-28T08:21:08,A20,D05,A20_D05,197,84.21,66.16,maduro,maduro
2026-03-28T08:24:27,A21,D05,A21_D05,194,93.06,65.18,verde,maduro
2026-03-28T08:28:01,A22,D05,A22_D05,206,101.38,63.71,maduro,maduro
2026-03-28T08:31:22,A23,D05,A23_D05,199,86.49,66.34,maduro,maduro
2026-03-28T08:34:43,A24,D05,A24_D05,218,93.86,68.85,maduro,maduro
2026-03-28T08:38:00,A25,D05,A25_D05,209,99.95,66.33,maduro,maduro
2026-03-28T08:41:19,A26,D05,A26_D05,207,95.82,66.44,maduro,maduro
2026-03-28T08:44:43,A27,D05,A27_D05,220,99.67,66.07,maduro,maduro
2026-03-28T08:47:54,A28,D05,A28_D05,190,85.46,65.42,maduro,maduro
2026-03-28T08:51:11,A29,D05,A29_D05,251,95.23,70.25,maduro,maduro
2026-03-28T08:54:20,A30,D05,A30_D05,229,99.44,65.73,maduro,maduro
2026-03-28T08:57:37,A31,D05,A31_D05,210,94.98,65.36,maduro,maduro
2026-03-28T09:00:49,A32,D05,A32_D05,211,93.68,65.32,maduro,maduro
2026-03-28T09:04:13,A33,D05,A33_D05,211,93.68,65.32,maduro,maduro
2026-03-28T09:07:27,A34,D05,A34_D05,194,93.94,65.17,maduro,maduro
2026-03-28T09:10:50,A36,D05,A36_D05,190,100.47,61.73,maduro,maduro
2026-03-28T09:14:26,A38,D05,A38_D05,221,102.01,65.08,maduro,maduro
2026-03-28T09:17:41,A39,D05,A39_D05,212,92.47,66.27,maduro,maduro
2026-03-28T19:32:56,A40,D05,A40_D05,204,91.73,64.1,pasado,maduro
2026-03-28T19:36:26,A41,D05,A41_D05,208,108.03,66.14,maduro,maduro
2026-03-28T19:39:48,A42,D05,A42_D05,206,100.78,62.73,maduro,maduro
2026-03-28T19:43:12,A43,D05,A43_D05,190,98.17,62.71,maduro,maduro
2026-03-28T19:46:45,A44,D05,A44_D05,209,87.74,66.22,maduro,maduro
2026-03-28T19:50:41,A45,D05,A45_D05,201,103.34,63.95,maduro,maduro
2026-03-28T19:54:07,A46,D05,A46_D05,231,98.09,67.12,maduro,maduro
2026-03-28T19:58:21,A47,D05,A47_D05,211,98.26,63.87,maduro,maduro
2026-03-28T20:01:50,A48,D05,A48_D05,245,100.11,67.67,maduro,maduro
2026-03-28T20:05:06,A49,D05,A49_D05,194,97.65,63.93,maduro,maduro
